,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299
0,36,35,36,22,58,28,55,58,18,24,50,58,56,36,40,37,27,23,29,26,24,32,37,18,72,62,56,53,69,74,20,38,53,28,48,23,61,33,44,26,47,31,24,22,33,68,56,28,18,48,45,31,18,41,24,61,56,51,64,40,46,19,57,55,71,35,51,47,46,19,43,29,69,18,68,24,39,36,46,54,60,26,35,50,25,45,57,48,44,65,35,23,36,18,52,30,18,27,49,43,56,25,70,38,31,43,44,45,42,48,73,27,35,60,26,29,38,36,21,59,36,67,25,34,57,38,46,33,56,38,23,57,43,21,31,21,26,21,19,61,43,74,74,66,68,31,52,25,22,18,71,53,73,37,21,61,41,47,46,22,27,62,25,21,48,63,42,25,52,23,46,27,36,20,33,23,18,37,50,22,30,18,18,18,20,59,20,65,40,20,71,19,23,39,55,33,41,24,32,24,30,35,42,30,27,27,43,32,28,24,30,20,28,23,42,20,21,20,22,24,28,46,20,36,62,32,23,37,20,50,44,28,39,59,19,18,27,43,56,40,44,37,37,71,34,21,25,24,33,59,46,49,40,22,26,36,48,44,53,41,20,53,75,28,64,34,32,70,74,23,58,18,50,72,29,53,19,32,20,67,52,24,21,20,24,46,23,57,58,22,34,24,74,32,19,31,74,40,29,38
1,21,19,72,49,44,18,35,18,69,57,74,44,18,39,70,29,18,65,48,50,64,21,64,65,68,18,32,24,55,25,48,51,41,28,19,50,18,24,19,23,38,28,31,18,57,22,23,39,28,53,43,60,58,19,18,73,18,54,43,75,28,68,21,33,48,41,18,44,54,22,38,31,29,26,30,19,40,51,27,53,52,46,18,27,24,33,18,38,46,18,27,33,26,42,44,22,22,27,19,44,20,27,31,27,45,35,24,71,45,22,42,21,46,18,30,28,50,20,58,40,44,32,36,50,38,26,23,55,20,44,75,23,57,31,50,18,19,18,54,67,73,50,50,69,25,40,32,24,64,45,53,60,69,21,18,32,26,75,51,29,18,52,30,21,59,46,18,44,31,30,45,34,19,56,31,71,71,22,20,22,33,30,73,31,22,58,43,44,35,40,41,19,50,62,40,54,35,21,54,18,25,33,36,23,32,73,20,40,75,20,43,21,30,55,62,18,50,18,27,73,39,37,33,63,43,28,64,34,43,37,35,18,26,39,59,65,41,29,48,35,32,57,53,43,23,38,51,22,43,46,26,33,18,42,70,28,48,30,23,24,38,30,46,70,37,44,75,42,34,51,33,44,21,47,39,74,18,63,47,18,42,46,66,74,38,48,38,54,27,28,24,23,41,56,63,39,29,26,19,65
2,35,49,48,52,31,22,34,54,19,32,53,63,25,59,35,57,18,25,35,42,50,75,22,51,70,45,42,74,23,34,22,32,32,65,59,68,18,48,60,47,56,56,69,64,21,38,67,48,25,26,61,18,18,39,67,50,29,58,33,21,36,26,19,35,43,26,38,52,59,60,24,50,45,30,61,45,37,24,59,35,34,21,49,34,30,24,50,72,18,64,29,21,27,62,60,52,35,46,35,20,28,18,21,22,28,63,69,37,36,32,18,29,19,69,24,58,58,57,39,54,19,19,45,44,43,29,47,38,51,44,26,22,37,36,26,30,20,46,19,53,63,70,54,30,23,26,24,19,73,49,19,50,24,29,29,61,21,43,36,70,24,68,22,55,31,25,58,32,70,44,38,40,20,27,25,25,37,47,58,70,31,51,26,44,23,69,33,34,22,41,40,69,53,42,63,21,19,51,21,28,19,65,56,20,48,37,18,21,46,53,43,30,63,46,39,20,19,36,41,20,60,54,39,32,70,23,18,31,43,19,46,30,42,28,26,63,33,19,56,23,28,29,20,46,20,25,39,59,36,74,54,36,54,28,48,44,27,18,46,35,28,54,26,33,40,30,48,20,59,19,45,63,28,20,20,38,25,23,68,45,32,27,37,18,25,37,38,70,20,47,41,25,28,20,31,55,63,46,48,50
3,63,56,58,27,61,40,52,28,25,47,52,24,35,27,19,73,33,18,40,30,32,21,70,34,58,62,56,27,22,75,36,60,27,32,18,52,25,32,47,50,21,63,24,27,24,18,34,73,37,59,24,54,67,54,32,27,67,18,18,28,75,21,40,40,35,46,27,60,40,23,30,64,67,72,42,50,54,18,61,25,39,22,75,35,48,33,75,47,21,30,23,31,19,42,21,29,22,46,70,66,19,30,31,44,31,44,49,36,45,34,25,62,25,40,51,19,56,37,23,69,51,52,59,24,49,70,57,39,37,39,21,38,55,60,52,35,28,58,21,34,25,47,25,21,47,42,63,64,31,27,34,28,28,24,74,46,27,60,22,25,20,54,56,75,18,24,57,29,55,31,29,22,24,57,55,39,49,42,47,71,52,28,28,22,26,28,62,20,68,47,27,29,36,19,42,60,35,51,61,26,67,53,43,19,30,35,57,71,55,24,23,27,69,27,42,23,52,27,27,48,47,35,43,47,24,49,19,40,18,49,42,39,29,35,57,68,51,32,43,30,25,68,27,29,37,52,25,43,33,18,28,22,31,40,47,40,18,18,20,66,62,25,43,19,73,28,20,37,25,22,22,22,28,28,38,30,32,18,19,53,21,26,38,73,30,62,27,30,71,58,47,35,68,24,26,59,68,65,33,45
4,52,45,41,21,34,38,36,40,53,34,22,69,25,28,29,58,75,54,64,27,37,39,31,37,23,38,46,23,38,64,21,30,25,62,36,38,70,72,59,59,26,19,30,18,65,46,38,69,56,24,40,54,72,19,23,61,29,39,63,37,64,46,24,64,25,60,40,40,24,33,28,64,27,66,21,51,24,55,21,24,34,34,40,23,21,29,53,49,24,32,60,30,61,28,19,45,40,37,24,69,55,57,18,40,61,18,25,27,30,59,33,19,56,59,57,19,72,24,20,47,39,32,45,36,41,24,72,74,19,71,42,61,28,67,30,45,33,19,26,37,26,28,21,19,69,21,62,49,39,61,18,44,43,65,30,23,25,29,56,18,45,31,29,30,39,37,35,19,18,51,31,34,22,26,69,19,74,25,36,26,27,51,55,22,26,59,27,24,30,22,19,41,42,51,50,31,54,72,69,72,75,38,19,45,40,24,55,33,67,55,21,26,18,62,60,37,30,58,60,32,22,18,53,66,21,29,34,19,62,34,72,43,28,45,69,37,46,71,26,44,48,59,19,20,37,72,59,63,44,48,20,43,21,47,20,56,25,32,58,22,47,72,19,21,20,43,18,42,40,25,70,23,43,72,21,70,25,18,69,45,59,72,39,20,63,50,23,59,46,70,39,26,29,22,37,40,22,29,37,25
5,39,71,18,21,18,19,23,35,28,21,27,19,21,29,25,33,68,22,41,39,48,30,34,42,48,47,31,21,26,46,56,66,71,44,30,33,68,25,41,23,51,34,19,25,54,28,22,72,24,63,25,20,25,43,46,36,41,34,68,64,28,23,51,47,59,29,47,33,61,23,65,34,23,63,62,18,31,62,53,34,19,60,72,42,73,45,56,34,53,35,62,42,30,71,59,44,36,70,23,65,64,26,19,69,52,56,28,27,36,33,54,40,18,39,20,25,42,19,27,59,52,23,51,65,60,46,20,22,67,45,19,27,21,58,53,23,44,32,73,38,22,27,63,55,25,42,32,54,47,18,19,53,26,28,34,28,25,56,64,27,33,48,48,23,74,73,53,36,37,21,24,25,48,20,21,21,18,27,25,48,27,18,21,30,20,25,50,18,29,27,27,21,54,35,55,46,25,75,70,58,29,25,61,24,24,42,38,60,70,20,35,28,51,74,37,57,35,27,29,41,72,72,47,30,64,38,38,26,28,25,29,62,21,47,35,19,43,41,49,74,37,23,21,66,48,52,47,54,30,58,69,18,35,65,19,40,65,29,19,21,56,28,22,66,24,19,73,44,18,37,29,19,22,29,44,49,37,18,41,32,23,62,27,43,34,46,19,59,47,52,23,25,65,18,20,50,22,20,72,26
6,30,49,46,33,18,64,71,54,23,23,20,19,73,60,61,26,24,67,37,21,31,52,18,26,18,71,68,64,37,45,73,21,27,56,72,19,36,66,23,59,70,31,36,41,52,25,44,53,47,64,36,22,27,19,67,51,41,67,42,32,21,21,40,51,43,32,38,34,25,26,18,54,24,31,21,36,51,71,56,35,44,50,46,53,27,47,42,47,68,24,51,46,51,18,41,23,57,48,27,22,42,31,63,31,39,19,26,34,18,20,72,39,31,29,23,26,32,19,26,58,65,19,25,53,68,75,32,18,23,36,30,37,23,53,20,45,23,58,68,22,23,68,34,64,19,20,41,34,46,59,52,67,44,42,45,33,25,30,39,44,42,63,46,71,24,28,18,18,30,68,36,36,53,35,53,60,28,25,32,41,46,72,70,31,48,27,32,61,62,38,23,31,61,35,24,52,41,45,71,69,19,47,69,54,42,30,52,66,58,65,49,25,40,37,18,23,66,75,68,18,65,31,43,35,41,34,23,50,26,28,31,55,54,25,75,27,34,28,59,18,64,46,62,45,34,26,45,28,18,66,62,58,22,35,28,36,35,53,45,52,21,67,58,20,26,18,34,67,69,47,65,34,32,45,38,42,28,48,21,18,57,48,37,21,37,53,47,21,25,21,39,41,42,67,29,41,54,25,23,36
7,40,30,24,38,26,68,56,47,51,64,23,33,34,29,20,59,36,26,24,52,27,19,60,18,18,20,56,54,25,40,72,21,59,56,63,20,48,20,32,74,65,34,18,43,28,53,29,37,57,29,44,71,38,19,19,71,74,38,31,53,42,74,19,49,66,25,55,34,25,20,37,42,48,75,46,22,26,36,54,54,56,64,45,27,20,19,67,55,28,67,18,25,51,41,52,58,35,52,46,53,64,30,31,38,58,49,36,30,21,45,66,35,56,36,73,69,47,51,25,57,22,32,37,28,28,63,18,49,40,23,46,20,60,33,43,65,55,58,32,61,21,23,49,31,62,37,42,33,48,68,66,20,71,26,74,32,54,19,30,48,32,43,35,46,24,59,23,38,19,49,67,44,39,72,50,37,29,73,51,44,33,25,39,56,18,60,19,28,26,68,47,34,35,68,25,21,20,26,43,71,34,30,40,61,54,55,22,37,53,28,73,59,65,26,57,22,53,53,27,40,38,22,71,62,18,20,40,58,49,45,23,57,70,25,40,21,24,52,64,36,30,56,35,34,21,43,34,18,32,20,60,44,22,29,36,34,62,21,50,43,23,33,53,63,34,21,20,35,36,35,34,21,42,26,28,20,40,53,59,21,44,61,40,54,72,70,26,18,38,73,26,35,46,64,32,18,36,18,67,29
8,27,64,71,40,25,58,44,62,75,22,40,36,49,59,33,63,31,71,34,29,26,18,19,69,57,70,74,47,71,24,30,45,53,18,19,32,29,20,32,18,71,44,33,27,21,28,38,39,55,37,22,34,25,49,45,32,45,24,26,22,26,20,38,63,35,27,42,19,23,35,34,43,43,37,20,18,45,35,23,22,47,53,25,71,47,27,43,25,19,53,43,28,26,21,22,24,22,41,33,19,20,23,31,35,71,43,64,25,23,60,25,31,69,18,42,74,39,30,29,49,35,35,44,40,46,30,21,21,68,27,20,33,23,44,28,63,57,42,18,30,52,48,59,19,48,20,34,20,18,49,71,29,49,30,30,20,27,29,41,32,72,28,37,44,58,22,27,29,39,52,65,44,69,71,45,63,32,33,25,28,18,28,31,23,34,52,45,64,71,40,44,18,50,20,43,33,41,51,47,32,34,27,29,64,74,69,56,69,30,36,35,55,18,45,25,48,57,51,65,30,35,29,54,22,28,30,68,64,44,54,27,56,20,24,24,38,28,20,19,36,64,18,23,23,40,62,18,28,24,57,35,29,34,52,65,44,56,27,52,37,61,24,45,44,41,58,24,67,72,18,63,20,38,19,57,72,27,21,21,75,33,34,28,37,21,50,24,54,34,55,49,40,61,46,33,68,26,18,31,59
9,34,38,49,54,40,50,46,55,47,72,26,27,24,22,63,22,52,65,44,35,34,20,29,66,29,21,58,49,18,65,24,46,36,66,31,47,26,64,19,49,74,43,23,24,18,63,67,42,65,55,22,59,25,22,32,20,73,39,20,44,44,54,74,75,23,22,28,46,25,34,70,70,30,34,21,28,19,44,64,41,28,49,26,34,32,19,66,68,20,23,43,31,28,34,53,24,19,61,30,27,26,42,58,36,35,23,48,48,49,32,70,65,47,71,67,23,73,40,24,38,37,34,21,73,35,42,56,21,30,18,49,68,46,42,26,38,26,28,70,42,45,68,58,18,31,25,70,51,43,60,70,54,25,24,45,51,19,40,58,66,22,19,44,59,73,59,51,34,23,49,74,63,18,24,19,25,21,39,32,25,34,63,47,29,18,21,49,64,50,74,59,36,20,43,32,24,33,40,18,22,22,41,71,28,56,35,22,55,31,32,47,31,30,21,49,36,32,18,59,47,74,39,29,24,64,53,65,58,43,50,70,51,55,25,68,43,60,28,20,18,65,21,30,28,22,47,43,18,62,62,62,43,52,37,64,67,65,49,51,21,22,25,38,26,57,26,57,57,45,55,56,27,24,50,32,46,27,25,25,46,21,51,66,43,20,36,19,20,29,20,40,55,37,26,56,26,44,19,66,51
