,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299
0,23,55,24,21,19,71,59,58,19,49,59,20,41,24,54,65,20,56,28,74,47,34,51,30,63,42,60,54,64,28,23,64,19,19,45,32,71,75,61,63,19,33,18,43,37,52,31,22,21,21,45,32,20,20,23,23,60,63,67,19,40,43,46,18,33,44,27,73,24,53,18,27,18,24,22,24,19,25,61,58,20,19,19,29,23,57,19,23,31,20,19,23,20,51,41,35,20,19,20,24,49,21,24,19,73,43,40,18,18,28,59,44,19,23,45,19,31,67,29,18,19,68,61,64,21,21,25,41,45,50,22,27,23,59,42,37,18,19,24,22,39,23,20,21,73,20,74,42,22,28,23,30,48,58,25,54,38,33,37,53,26,39,61,43,29,18,33,19,18,21,35,23,18,19,60,19,31,25,19,22,24,30,63,53,22,38,18,32,57,69,39,23,18,30,50,20,38,32,18,29,53,23,53,59,20,58,21,18,37,60,26,19,65,70,25,30,22,44,23,19,43,34,32,19,38,51,67,60,51,68,21,35,25,51,56,27,64,23,57,48,49,21,18,35,71,22,48,58,64,28,67,43,18,57,36,19,56,18,70,62,40,60,35,40,57,20,63,49,22,18,42,18,24,59,19,70,21,21,44,20,50,19,38,58,19,18,36,21,25,22,38,23,19,64,41,48,20,41,19,20
1,25,35,67,67,31,23,59,41,19,26,26,38,28,36,41,18,19,19,32,36,18,20,47,57,35,27,21,28,20,30,41,57,30,31,44,38,50,20,69,21,38,68,43,20,18,45,30,58,22,42,42,38,30,23,27,74,28,19,26,68,37,27,43,44,24,73,27,21,21,68,30,63,22,25,18,30,18,26,18,31,61,32,18,50,55,35,23,25,49,23,53,18,24,64,67,20,23,20,23,23,39,22,39,24,24,34,19,34,61,26,18,70,22,29,38,41,45,18,23,21,21,44,22,35,42,37,46,19,20,22,20,26,23,58,23,29,64,29,19,33,32,18,56,33,25,35,72,37,25,24,48,67,21,38,55,19,18,20,19,30,22,43,75,23,39,20,45,22,22,23,36,26,65,21,31,24,21,61,18,49,18,57,35,24,22,36,26,72,31,21,65,23,22,21,18,33,39,23,60,21,59,29,30,40,23,24,44,25,21,21,18,20,60,53,21,51,24,19,51,73,36,43,18,33,18,18,23,23,24,33,34,59,37,19,20,19,20,32,62,23,51,20,26,35,19,27,19,23,61,52,34,34,45,33,18,19,30,57,21,19,29,67,53,46,29,18,23,20,20,52,29,28,18,21,36,66,26,26,18,22,47,23,19,30,19,73,63,25,46,19,18,23,41,20,74,18,35,40,49,32
2,21,18,19,19,31,23,19,63,23,22,33,41,44,23,18,33,18,41,20,42,55,22,20,54,21,55,45,18,58,35,24,25,20,19,53,21,39,23,23,33,23,22,31,32,64,61,66,18,19,19,27,24,33,20,22,69,44,22,30,24,21,55,23,27,23,70,19,24,26,20,21,18,27,20,40,18,56,59,18,32,25,41,42,36,20,30,24,53,30,51,74,31,58,66,18,18,22,24,23,27,37,37,68,23,37,19,20,23,44,19,44,21,23,18,23,20,21,45,18,20,67,22,60,64,36,22,18,69,37,61,18,48,55,20,19,31,41,53,31,32,20,67,58,38,21,50,25,32,22,20,47,73,20,23,21,30,34,31,24,24,27,23,18,18,25,24,22,43,23,57,22,28,52,52,42,20,64,25,63,57,30,74,23,25,29,32,23,70,37,20,40,45,27,18,38,24,28,40,19,18,66,51,59,35,70,19,21,22,23,23,61,21,26,37,46,28,20,18,20,18,24,27,21,47,30,66,39,20,19,24,22,22,50,56,18,39,65,70,37,67,35,43,60,27,40,68,21,27,33,39,26,20,37,52,33,21,20,22,60,57,18,20,20,18,23,57,22,23,40,66,18,23,29,41,18,62,29,20,19,44,18,63,22,23,24,21,36,25,18,31,37,21,18,44,21,45,27,42,49,33
3,51,67,51,74,19,49,31,18,30,20,53,20,62,46,18,67,65,45,27,38,49,29,30,54,23,37,65,44,35,18,31,61,57,19,55,27,27,75,18,43,64,45,52,26,55,25,67,28,60,43,58,43,40,18,22,41,73,40,28,26,57,38,22,28,47,42,27,32,21,53,19,18,43,34,41,30,63,67,20,48,54,46,27,19,55,19,61,19,30,63,25,37,22,21,20,44,61,19,60,42,24,19,31,31,19,21,23,42,18,27,35,64,49,57,56,22,66,38,23,38,26,32,67,23,33,30,20,69,24,57,22,34,19,40,57,20,23,25,70,75,29,21,24,20,32,47,50,25,57,58,58,27,34,37,27,68,36,22,64,31,36,59,33,65,25,30,25,26,55,45,39,23,20,46,53,19,31,52,22,19,64,19,25,60,48,75,21,46,26,70,38,48,42,54,56,22,54,28,57,19,32,26,18,57,19,19,60,56,37,23,23,19,22,21,58,18,53,36,19,22,29,37,21,28,18,63,22,67,23,21,25,18,58,19,75,37,19,27,51,22,41,27,31,42,20,38,25,19,25,33,18,74,18,24,20,20,18,35,23,65,20,37,56,19,29,22,50,49,36,41,43,29,20,20,24,52,50,21,41,18,22,22,24,29,29,48,43,45,60,70,23,30,50,19,23,33,49,29,40,27
4,24,50,24,20,33,38,24,56,27,24,23,74,19,72,53,24,74,29,22,24,27,20,53,42,20,24,21,32,18,64,20,20,21,34,19,58,21,37,25,52,65,22,31,66,20,18,22,74,20,41,55,51,20,27,20,19,20,39,29,39,19,19,29,43,20,21,50,65,22,38,43,44,32,23,40,36,24,25,49,52,42,27,28,29,18,19,20,19,18,68,33,22,37,57,19,55,24,22,19,21,24,20,18,19,23,54,35,71,27,18,35,19,38,46,36,19,26,21,40,26,29,58,48,71,22,32,33,18,65,18,23,22,25,20,61,23,61,33,67,61,19,58,29,18,19,46,24,24,56,40,23,58,20,19,70,67,43,18,21,40,43,39,38,33,29,54,22,22,33,25,20,63,28,34,35,23,27,18,48,18,20,52,32,21,60,18,22,23,19,19,38,30,24,32,29,24,53,18,41,40,37,21,33,28,53,25,22,64,26,19,21,43,22,26,22,58,48,18,21,19,24,60,19,26,39,54,59,45,26,43,51,21,72,50,45,67,19,20,35,20,42,32,38,29,38,25,22,49,33,24,65,20,18,23,22,57,61,37,44,22,66,22,47,40,19,18,19,21,19,36,33,44,70,49,19,49,30,45,24,19,19,48,54,39,31,37,42,72,19,21,70,20,52,35,24,21,33,19,59,64
5,21,39,47,29,40,29,19,54,21,65,22,31,21,34,20,69,38,36,19,25,27,75,37,33,19,35,32,24,21,24,18,18,20,27,40,42,44,21,38,21,38,50,30,27,62,59,22,60,29,20,27,67,71,49,21,22,27,20,70,24,24,19,62,73,18,21,67,49,18,23,48,28,60,29,21,30,58,63,61,38,29,72,50,24,42,42,38,33,72,39,71,32,32,23,21,42,71,20,40,43,69,51,65,20,21,27,20,19,19,21,24,68,34,22,21,44,56,19,37,23,21,33,20,51,20,63,48,18,19,18,35,41,24,19,20,69,73,28,22,23,47,18,19,30,41,43,22,42,20,47,22,23,57,19,21,33,44,29,29,60,22,19,38,57,18,22,44,20,28,63,40,20,37,23,22,18,28,55,20,42,25,38,20,28,31,18,23,24,25,65,41,48,19,37,21,64,74,22,54,38,18,32,44,23,19,27,24,63,22,19,21,18,19,22,75,39,40,57,23,42,33,38,40,18,39,32,20,25,65,37,27,21,50,41,38,50,73,34,19,41,48,26,31,56,72,46,20,64,72,23,32,54,38,59,20,52,35,24,18,44,32,27,48,21,57,26,20,42,73,25,20,18,69,23,29,70,18,31,44,43,52,23,23,42,22,62,25,19,20,71,20,28,58,37,28,22,58,27,19,40
6,27,38,56,41,19,22,22,44,20,24,65,21,19,18,22,19,18,20,21,20,24,18,43,22,33,23,21,46,19,70,41,45,40,22,40,23,21,21,58,38,18,33,54,58,30,23,34,22,23,62,34,65,19,19,65,23,34,22,20,47,31,37,59,19,54,26,38,31,18,21,25,24,69,22,37,60,24,20,21,22,36,18,38,62,31,23,47,20,19,22,26,23,46,64,20,31,56,19,22,39,18,22,38,19,61,42,31,32,35,53,55,39,25,67,37,18,24,34,60,40,57,39,31,48,40,19,18,18,31,54,20,46,38,32,18,68,65,46,43,36,37,57,29,67,25,31,24,32,25,29,31,21,58,75,35,23,21,29,47,20,45,58,30,30,20,59,69,72,18,29,50,22,36,20,33,18,34,20,43,27,27,44,19,19,22,26,25,58,57,24,25,29,25,22,22,32,18,20,18,35,18,37,32,40,52,36,37,67,23,54,69,73,60,72,46,19,25,18,24,18,26,22,45,20,19,27,39,20,22,18,30,19,59,27,51,31,38,41,21,27,27,36,72,38,27,18,31,36,19,28,56,43,36,50,67,52,20,25,18,22,59,18,21,57,71,21,58,56,71,75,27,46,38,22,27,66,25,23,57,23,24,20,24,56,62,27,28,54,31,27,18,25,33,25,60,20,23,30,37,36
7,22,31,58,45,38,70,26,48,36,24,27,20,41,23,41,55,66,26,37,20,52,22,20,31,24,75,57,23,20,21,18,19,62,40,24,55,50,51,36,19,34,48,41,35,43,25,21,70,18,24,57,18,71,28,34,26,51,33,51,29,21,55,19,64,53,32,20,25,44,25,35,22,23,21,54,31,22,18,31,20,34,40,18,18,47,75,37,30,19,18,28,24,21,70,44,21,29,72,19,24,28,60,18,19,35,60,49,38,69,19,70,44,19,40,68,45,22,43,55,20,52,74,49,34,20,49,31,71,20,51,23,21,56,21,18,43,27,23,40,32,66,33,36,59,23,37,23,24,26,35,29,41,37,19,22,43,21,27,20,56,23,28,19,43,52,26,43,24,52,71,75,45,41,42,45,45,23,35,21,23,33,22,26,24,23,34,29,24,23,32,26,18,28,65,38,26,24,74,20,23,45,20,60,37,50,22,22,47,52,18,58,40,18,21,26,65,30,34,58,20,19,19,46,33,24,49,19,30,74,56,19,19,43,54,50,20,18,23,21,26,18,29,19,25,21,25,22,38,72,20,41,33,68,18,50,58,18,59,57,27,36,41,45,68,57,22,61,28,58,59,18,64,22,53,26,33,24,19,23,68,19,30,35,49,47,22,25,18,44,55,70,18,26,27,42,20,31,36,25,47
8,41,35,37,21,28,66,58,34,23,51,25,69,45,20,22,53,63,35,23,37,63,72,36,29,49,52,45,36,34,31,53,19,23,47,20,20,52,20,19,36,34,19,24,30,42,63,51,19,22,53,22,47,36,18,37,24,55,20,30,18,21,36,41,24,18,23,29,47,18,25,28,47,21,48,18,18,40,19,21,41,65,22,39,40,49,63,21,68,58,20,30,47,18,41,20,24,54,46,70,25,39,21,36,20,19,24,31,22,41,35,28,38,22,26,64,39,57,24,23,52,23,45,39,39,38,75,55,31,72,22,60,47,19,42,39,18,28,44,24,23,22,20,43,54,63,25,64,22,21,60,46,71,19,19,18,50,50,30,59,18,34,64,70,21,27,19,25,68,38,24,23,46,29,60,48,66,23,38,47,69,19,38,39,75,22,20,52,26,29,21,43,73,62,22,29,44,34,21,64,37,43,21,31,59,24,45,51,23,30,35,60,20,39,31,48,27,32,55,18,18,21,29,18,45,22,53,19,21,59,29,22,57,18,20,47,44,57,38,18,30,40,26,20,36,23,23,18,18,68,24,21,59,39,54,53,34,29,40,65,63,23,33,32,52,22,50,19,22,22,22,66,18,40,20,26,71,27,41,25,50,19,75,28,32,45,20,19,21,34,28,30,21,36,23,44,18,20,49,64,34
9,35,27,18,32,55,46,26,20,50,44,25,18,39,23,22,60,28,24,21,61,43,25,20,41,20,62,70,30,31,51,33,22,53,53,48,20,27,18,27,71,65,58,31,59,18,40,26,75,28,22,24,31,61,74,20,23,18,27,19,47,19,23,56,22,18,19,64,28,37,30,24,49,44,38,39,59,52,38,74,26,45,70,69,21,47,19,47,22,64,22,24,55,26,44,56,46,41,60,26,46,57,40,23,63,43,19,22,44,23,19,46,59,43,72,37,19,49,24,61,24,24,35,20,18,36,23,18,20,29,22,66,18,21,31,23,48,43,18,19,65,43,19,58,35,25,28,20,38,21,21,43,20,20,22,55,43,22,72,24,35,58,40,49,33,61,55,21,46,20,30,56,28,19,31,27,70,38,27,72,66,19,72,57,55,21,74,28,30,23,35,20,57,33,48,75,26,19,36,27,33,34,45,30,30,48,41,29,22,65,29,60,21,69,22,28,19,54,26,18,29,27,32,18,38,20,18,24,36,21,25,20,26,18,72,19,42,65,18,20,21,40,34,24,37,18,36,22,54,20,66,21,32,20,66,43,24,46,71,48,20,18,20,53,23,20,45,63,29,35,26,18,18,19,23,18,34,29,18,39,21,56,45,22,20,20,42,21,51,23,20,24,29,33,45,18,21,31,45,28,22
